	gene_symbol
385	ADH1B
386	ADH1C
387	ADH4
388	ADH5
389	ADH5P2
390	ADH5P3
391	ADH5P4
392	ADH6
393	ADH7
394	ADHD1
395	ADHD2
396	ADHD3
397	ADHD4
398	ADHFE1
399	ADI1
400	ADIG
401	ADIPOQ
402	ADIPOR1
403	ADIPOR2
404	ADK
405	ADM
406	ADM2
407	ADNP
408	ADNP2
409	ADO
410	ADORA1
411	ADORA2A
412	ADORA2B
413	ADORA2BP1
414	ADORA3
415	ADPGK
416	ADPRH
417	ADPRHL1
418	ADPRHL2
419	ADRA1A
420	ADRA1B
421	ADRA1D
422	ADRA2A
423	ADRA2B
424	ADRA2C
425	ADRB1
426	ADRB2
427	ADRB3
428	ADRBK1
429	ADRBK2
430	ADRM1
431	ADSL
432	ADSS
433	ADSSL1
434	AEBP1
435	AEBP2
436	AEN
437	AES
438	AF357530
439	AF357532
440	AF357533
441	AFAP1
442	AFAP1-AS1
443	AFAP1L1
444	AFAP1L2
445	AFD1
446	AFF1
447	AFF2
448	AFF3
449	AFF4
450	AFG3L1P
451	AFG3L2
452	AFG3L2P1
453	AFM
454	AFMID
455	AFP
456	AFTPH
457	AGA
458	AGAP1
459	AGAP10
460	AGAP11
461	AGAP2
462	AGAP3
463	AGAP4
464	AGAP5
465	AGAP6
466	AGAP7
467	AGAP8
468	AGAP9
469	AGBL1
470	AGBL2
471	AGBL3
472	AGBL4
473	AGBL5
474	AGER
475	AGFG1
476	AGFG2
477	AGGF1
478	AGGF1P3
479	AGK
480	AGKP1
481	AGL
482	AGMAT
483	AGMO
484	AGMX2
485	AGPAT1
486	AGPAT2
487	AGPAT3
488	AGPAT4
489	AGPAT4-IT1
490	AGPAT5
491	AGPAT5P1
492	AGPAT6
493	AGPAT9
494	AGPHD1
495	AGPS
496	AGR2
497	AGR3
498	AGRN
499	AGRP
500	AGSK1
501	AGT
502	AGTPBP1
503	AGTR1
504	AGTR2
505	AGTRAP
506	AGXT
507	AGXT2
508	AGXT2L1
509	AGXT2L2
510	AHCTF1
511	AHCTF1P1
512	AHCY
513	AHCYL1
514	AHCYL2
515	AHDC1
516	AHI1
517	AHNAK
518	AHNAK2
519	AHR
520	AHRR
521	AHSA1
522	AHSA2
523	AHSG
524	AHSP
525	AIC
526	AICDA
527	AIDA
528	AIF1
529	AIF1L
530	AIFM1
531	AIFM2
532	AIFM3
533	AIG1
534	AIH3
535	AIM1
536	AIM1L
537	AIM2
538	AIMP1
539	AIMP2
540	AIP
541	AIPL1
542	AIR
543	AIRE
544	AIRN
545	AIS
546	AIS1
547	AIS2
548	AIS4
549	AITD1
550	AITD2
551	AITD4
552	AJAP1
553	AK1
554	AK2
555	AK2P1
556	AK2P2
557	AK3
558	AK3P2
559	AK4
560	AK4P1
561	AK4P3
562	AK4P6
563	AK5
564	AK7
565	AK8
566	AKAP1
567	AKAP10
568	AKAP11
569	AKAP12
570	AKAP13
571	AKAP14
572	AKAP16BP
573	AKAP17A
574	AKAP2
575	AKAP3
576	AKAP4
577	AKAP5
578	AKAP6
579	AKAP7
580	AKAP8
581	AKAP8L
582	AKAP9
583	AKD1
584	AKIP1
585	AKIRIN1
586	AKIRIN2
587	AKIRIN2-AS1
588	AKNA
589	AKNAD1
590	AKR1A1
591	AKR1B1
592	AKR1B10
593	AKR1B15
594	AKR1B1P1
595	AKR1B1P3
596	AKR1B1P4
597	AKR1B1P5
598	AKR1B1P7
599	AKR1B1P8
600	AKR1C1
601	AKR1C2
602	AKR1C3
603	AKR1C4
604	AKR1CL1
605	AKR1D1
606	AKR1D1P1
607	AKR1E2
608	AKR7A2
609	AKR7A2P1
610	AKR7A3
611	AKR7L
612	AKT1
613	AKT1S1
614	AKT2
615	AKT3
616	AKTIP
617	ALAD
618	ALAS1
619	ALAS2
620	ALB
621	ALCAM
622	ALDH16A1
623	ALDH18A1
624	ALDH1A1
625	ALDH1A2
626	ALDH1A3
627	ALDH1B1
628	ALDH1L1
629	ALDH1L2
630	ALDH2
631	ALDH3A1
632	ALDH3A2
633	ALDH3B1
634	ALDH3B2
635	ALDH4A1
636	ALDH5A1
637	ALDH6A1
638	ALDH7A1
639	ALDH7A1P1
640	ALDH7A1P3
641	ALDH7A1P4
642	ALDH8A1
643	ALDH9A1
644	ALDOA
645	ALDOAP1
646	ALDOAP2
647	ALDOB
648	ALDOC
649	ALG1
650	ALG10
651	ALG10B
652	ALG11
653	ALG12
654	ALG13
655	ALG14
656	ALG1L
657	ALG1L2
658	ALG2
659	ALG3
660	ALG5
661	ALG6
662	ALG8
663	ALG9
664	ALK
665	ALKBH1
666	ALKBH2
667	ALKBH3
668	ALKBH4
669	ALKBH5
670	ALKBH6
671	ALKBH7
672	ALKBH8
673	ALLC
674	ALMS1
675	ALMS1P
676	ALOX12
677	ALOX12B
678	ALOX12P1
679	ALOX12P2
680	ALOX15
681	ALOX15B
682	ALOX15P1
683	ALOX15P2
684	ALOX5
685	ALOX5AP
686	ALOXE3
687	ALPI
688	ALPK1
689	ALPK2
690	ALPK3
691	ALPL
692	ALPP
693	ALPPL2
694	ALPPP
695	ALRH
696	ALS2
697	ALS2CL
698	ALS2CR11
699	ALS2CR12
700	ALS2CR8
701	ALS3
702	ALS5
703	ALS7
704	ALSFTD
705	ALX1
706	ALX3
707	ALX4
708	AMACR
709	AMBN
710	AMBP
711	AMBRA1
712	AMCN
713	AMCX5
714	AMD1
715	AMDHD1
716	AMDHD2
717	AMDP1
718	AMELX
719	AMELY
720	AMFR
721	AMH
722	AMHR2
723	AMICA1
724	AMIGO1
725	AMIGO2
726	AMIGO3
727	AMLCR2
728	AMMECR1
729	AMMECR1L
730	AMN
731	AMN1
732	AMOT
733	AMOTL1
734	AMOTL2
735	AMPD1
736	AMPD2
737	AMPD3
738	AMPH
739	AMT
740	AMTN
741	AMY1A
742	AMY1B
743	AMY1C
744	AMY2A
745	AMY2B
746	AMYP1
747	AMZ1
748	AMZ2
749	AMZ2P1
750	ANAPC1
751	ANAPC10
752	ANAPC10P1
753	ANAPC11
754	ANAPC13
755	ANAPC16
756	ANAPC2
757	ANAPC4
758	ANAPC5
759	ANAPC7
760	ANBC
761	ANCR
762	ANG
763	ANGEL1
764	ANGEL2
765	ANGPT1
766	ANGPT2
767	ANGPT4
768	ANGPTL1
769	ANGPTL2
770	ANGPTL3
771	ANGPTL4
772	ANGPTL5
773	ANGPTL6
774	ANGPTL7
775	ANIB1
776	ANIB2
777	ANIB3
778	ANIB4
779	ANIC
780	ANK1
781	ANK2
782	ANK3
783	ANKAR
784	ANKDD1A
785	ANKDD1B
786	ANKFN1
787	ANKFY1
788	ANKH
789	ANKHD1
790	ANKHD1-EIF4EBP3
791	ANKIB1
792	ANKK1
793	ANKLE1
794	ANKLE2
795	ANKMY1
796	ANKMY2
797	ANKRA2
798	ANKRD1
799	ANKRD10
800	ANKRD11
801	ANKRD12
802	ANKRD13A
803	ANKRD13B
804	ANKRD13C
805	ANKRD13D
806	ANKRD16
807	ANKRD17
808	ANKRD18A
809	ANKRD18B
810	ANKRD19P
811	ANKRD2
812	ANKRD20A1
813	ANKRD20A2
814	ANKRD20A3
815	ANKRD20A4
816	ANKRD20A5P
817	ANKRD20A6P
818	ANKRD20A7P
819	ANKRD20A8P
820	ANKRD20A9P
821	ANKRD22
822	ANKRD23
823	ANKRD24
824	ANKRD26
825	ANKRD26P1
826	ANKRD26P2
827	ANKRD26P3
828	ANKRD27
829	ANKRD28
830	ANKRD29
831	ANKRD30A
832	ANKRD30B
833	ANKRD30BL
834	ANKRD30BP1
835	ANKRD31
836	ANKRD32
837	ANKRD33
838	ANKRD33B
839	ANKRD34A
840	ANKRD34B
841	ANKRD34C
842	ANKRD35
843	ANKRD36
844	ANKRD36B
845	ANKRD36BP2
846	ANKRD37
847	ANKRD39
848	ANKRD40
849	ANKRD42
850	ANKRD43
851	ANKRD44
852	ANKRD45
853	ANKRD46
854	ANKRD49
855	ANKRD5
856	ANKRD50
857	ANKRD52
858	ANKRD53
859	ANKRD54
860	ANKRD55
861	ANKRD56
862	ANKRD57
863	ANKRD58
864	ANKRD6
865	ANKRD60
866	ANKRD61
867	ANKRD62
868	ANKRD62P1-PARP4P3
869	ANKRD63
870	ANKRD65
871	ANKRD7
872	ANKRD9
873	ANKS1A
874	ANKS1B
875	ANKS3
876	ANKS4B
877	ANKS6
878	ANKUB1
879	ANKZF1
880	ANLN
881	ANMA
882	ANO1
883	ANO10
884	ANO2
885	ANO3
886	ANO4
887	ANO5
888	ANO6
889	ANO7
890	ANO7L1
891	ANO8
892	ANO9
893	ANON
894	ANOP1
895	ANP32A
896	ANP32A-IT1
897	ANP32AP1
898	ANP32B
899	ANP32BP1
900	ANP32C
901	ANP32D
902	ANP32E
903	ANP32F
904	ANPEP
905	ANTXR1
906	ANTXR2
907	ANTXRL
908	ANUBL1
909	ANXA1
910	ANXA10
911	ANXA11
912	ANXA13
913	ANXA2
914	ANXA2P1
915	ANXA2P2
916	ANXA2P3
917	ANXA3
918	ANXA4
919	ANXA5
920	ANXA6
921	ANXA7
