	gene_symbol
8071	FOXD4L4
8072	FOXD4L5
8073	FOXD4L6
8074	FOXE1
8075	FOXE3
8076	FOXF1
8077	FOXF2
8078	FOXG1
8079	FOXH1
8080	FOXI1
8081	FOXI2
8082	FOXI3
8083	FOXJ1
8084	FOXJ2
8085	FOXJ3
8086	FOXK1
8087	FOXK2
8088	FOXL1
8089	FOXL2
8090	FOXM1
8091	FOXN1
8092	FOXN2
8093	FOXN3
8094	FOXN4
8095	FOXO1
8096	FOXO1B
8097	FOXO3
8098	FOXO3B
8099	FOXO4
8100	FOXO6
8101	FOXP1
8102	FOXP1-IT1
8103	FOXP2
8104	FOXP3
8105	FOXP4
8106	FOXQ1
8107	FOXR1
8108	FOXR2
8109	FOXRED1
8110	FOXRED2
8111	FOXS1
8112	FP588
8113	FPEVF
8114	FPGS
8115	FPGT
8116	FPR1
8117	FPR2
8118	FPR3
8119	FRA10A
8120	FRA10AC1
8121	FRA10B
8122	FRA10C
8123	FRA10D
8124	FRA10E
8125	FRA10F
8126	FRA10G
8127	FRA11A
8128	FRA11B
8129	FRA11C
8130	FRA11D
8131	FRA11E
8132	FRA11F
8133	FRA11G
8134	FRA11H
8135	FRA11I
8136	FRA12A
8137	FRA12B
8138	FRA12C
8139	FRA12D
8140	FRA12E
8141	FRA13A
8142	FRA13B
8143	FRA13C
8144	FRA13D
8145	FRA14B
8146	FRA14C
8147	FRA15A
8148	FRA16A
8149	FRA16B
8150	FRA16C
8151	FRA16D
8152	FRA16E
8153	FRA17A
8154	FRA17B
8155	FRA18A
8156	FRA18B
8157	FRA18C
8158	FRA19A
8159	FRA19B
8160	FRA1A
8161	FRA1B
8162	FRA1C
8163	FRA1D
8164	FRA1E
8165	FRA1F
8166	FRA1G
8167	FRA1H
8168	FRA1I
8169	FRA1J
8170	FRA1K
8171	FRA1L
8172	FRA1M
8173	FRA20A
8174	FRA20B
8175	FRA22A
8176	FRA22B
8177	FRA2A
8178	FRA2B
8179	FRA2C
8180	FRA2D
8181	FRA2E
8182	FRA2F
8183	FRA2G
8184	FRA2H
8185	FRA2I
8186	FRA2J
8187	FRA2K
8188	FRA3A
8189	FRA3C
8190	FRA3D
8191	FRA4A
8192	FRA4B
8193	FRA4C
8194	FRA4D
8195	FRA5A
8196	FRA5B
8197	FRA5C
8198	FRA5D
8199	FRA5E
8200	FRA5F
8201	FRA5G
8202	FRA6A
8203	FRA6B
8204	FRA6C
8205	FRA6D
8206	FRA6E
8207	FRA6F
8208	FRA6G
8209	FRA7A
8210	FRA7B
8211	FRA7C
8212	FRA7D
8213	FRA7E
8214	FRA7F
8215	FRA7G
8216	FRA7H
8217	FRA7I
8218	FRA7J
8219	FRA8A
8220	FRA8B
8221	FRA8C
8222	FRA8D
8223	FRA8E
8224	FRA9A
8225	FRA9B
8226	FRA9C
8227	FRA9D
8228	FRA9E
8229	FRA9F
8230	FRAS1
8231	FRAT1
8232	FRAT2
8233	FRAXA
8234	FRAXB
8235	FRAXC
8236	FRAXD
8237	FRAXE
8238	FRDA2
8239	FRDAP
8240	FREM1
8241	FREM2
8242	FREM3
8243	FRG1
8244	FRG1B
8245	FRG2
8246	FRG2B
8247	FRG2C
8248	FRK
8249	FRMD1
8250	FRMD3
8251	FRMD4A
8252	FRMD4B
8253	FRMD5
8254	FRMD6
8255	FRMD7
8256	FRMD8
8257	FRMPD1
8258	FRMPD2
8259	FRMPD2P1
8260	FRMPD3
8261	FRMPD4
8262	FRMPDP2
8263	FRRS1
8264	FRS2
8265	FRS3
8266	FRTS
8267	FRV2
8268	FRY
8269	FRY-AS1
8270	FRYL
8271	FRZB
8272	FSCB
8273	FSCN1
8274	FSCN2
8275	FSCN3
8276	FSD1
8277	FSD1L
8278	FSD2
8279	FSHB
8280	FSHMD1A
8281	FSHR
8282	FSI
8283	FSIP1
8284	FSIP2
8285	FST
8286	FSTL1
8287	FSTL3
8288	FSTL4
8289	FSTL5
8290	FTCD
8291	FTH1
8292	FTH1P1
8293	FTH1P10
8294	FTH1P11
8295	FTH1P12
8296	FTH1P13
8297	FTH1P14
8298	FTH1P15
8299	FTH1P16
8300	FTH1P18
8301	FTH1P19
8302	FTH1P2
8303	FTH1P20
8304	FTH1P21
8305	FTH1P3
8306	FTH1P4
8307	FTH1P5
8308	FTH1P7
8309	FTH1P8
8310	FTHL17
8311	FTL
8312	FTLP1
8313	FTLP15
8314	FTLP17
8315	FTLP2
8316	FTLP3
8317	FTLP4
8318	FTLP7
8319	FTMT
8320	FTO
8321	FTSJ1
8322	FTSJ2
8323	FTSJ3
8324	FTSJD1
8325	FTSJD2
8326	FTX
8327	FUBP1
8328	FUBP3
8329	FUCA1
8330	FUCA1P1
8331	FUCA2
8332	FUK
8333	FUNDC1
8334	FUNDC2
8335	FUNDC2P1
8336	FUNDC2P2
8337	FUNDC2P3
8338	FURIN
8339	FUS
8340	FUT1
8341	FUT10
8342	FUT11
8343	FUT2
8344	FUT3
8345	FUT4
8346	FUT5
8347	FUT6
8348	FUT7
8349	FUT8
8350	FUT9
8351	FUZ
8352	FXC1
8353	FXN
8354	FXR1
8355	FXR2
8356	FXYD1
8357	FXYD2
8358	FXYD3
8359	FXYD4
8360	FXYD5
8361	FXYD6
8362	FXYD6P3
8363	FXYD7
8364	FYB
8365	FYCO1
8366	FYN
8367	FYTTD1
8368	FZD1
8369	FZD10
8370	FZD2
8371	FZD3
8372	FZD4
8373	FZD5
8374	FZD6
8375	FZD7
8376	FZD8
8377	FZD9
8378	FZR1
8379	G0S2
8380	G2E3
8381	G3BP1
8382	G3BP2
8383	G6PC
8384	G6PC2
8385	G6PC3
8386	G6PD
8387	G7P1
8388	GAA
8389	GAB1
8390	GAB2
8391	GAB3
8392	GAB4
8393	GABARAP
8394	GABARAPL1
8395	GABARAPL2
8396	GABARAPL3
8397	GABBR1
8398	GABBR2
8399	GABPA
8400	GABPAP
8401	GABPB1
8402	GABPB2
8403	GABRA1
8404	GABRA2
8405	GABRA3
8406	GABRA4
8407	GABRA5
8408	GABRA6
8409	GABRB1
8410	GABRB2
8411	GABRB3
8412	GABRD
8413	GABRE
8414	GABRG1
8415	GABRG2
8416	GABRG3
8417	GABRP
8418	GABRQ
8419	GABRR1
8420	GABRR2
8421	GABRR3
8422	GAD1
8423	GAD2
8424	GADD45A
8425	GADD45AP1
8426	GADD45B
8427	GADD45G
8428	GADD45GIP1
8429	GADL1
8430	GAFA1
8431	GAFA2
8432	GAGE1
8433	GAGE10
8434	GAGE12B
8435	GAGE12C
8436	GAGE12D
8437	GAGE12E
8438	GAGE12F
8439	GAGE12G
8440	GAGE12H
8441	GAGE12I
8442	GAGE12J
8443	GAGE13
8444	GAGE2A
8445	GAGE2B
8446	GAGE2C
8447	GAGE2D
8448	GAGE3
8449	GAGE4
8450	GAGE5
8451	GAGE6
8452	GAGE7
8453	GAGE8
8454	GAK
8455	GAL
8456	GAL3ST1
8457	GAL3ST2
8458	GAL3ST3
8459	GAL3ST4
8460	GALC
8461	GALE
8462	GALK1
8463	GALK2
8464	GALM
8465	GALNS
8466	GALNT1
8467	GALNT10
8468	GALNT11
8469	GALNT12
8470	GALNT13
8471	GALNT14
8472	GALNT2
8473	GALNT3
8474	GALNT4
8475	GALNT5
8476	GALNT6
8477	GALNT7
8478	GALNT8
8479	GALNT9
8480	GALNTL1
8481	GALNTL2
8482	GALNTL4
8483	GALNTL5
8484	GALNTL6
8485	GALP
8486	GALR1
8487	GALR2
8488	GALR3
8489	GALT
8490	GAMT
8491	GAMTP1
8492	GAN
8493	GANAB
8494	GANC
8495	GAP43
8496	GAPDH
8497	GAPDHP1
8498	GAPDHP14
8499	GAPDHP15
8500	GAPDHP17
8501	GAPDHP19
8502	GAPDHP2
8503	GAPDHP20
8504	GAPDHP21
8505	GAPDHP22
8506	GAPDHP23
8507	GAPDHP24
8508	GAPDHP25
8509	GAPDHP26
8510	GAPDHP27
8511	GAPDHP28
8512	GAPDHP29
8513	GAPDHP30
8514	GAPDHP31
8515	GAPDHP32
8516	GAPDHP33
8517	GAPDHP34
8518	GAPDHP35
8519	GAPDHP36
8520	GAPDHP37
8521	GAPDHP38
8522	GAPDHP58
8523	GAPDHP59
8524	GAPDHP60
8525	GAPDHP61
8526	GAPDHP62
8527	GAPDHP63
8528	GAPDHP64
8529	GAPDHP65
8530	GAPDHP66
8531	GAPDHP68
8532	GAPDHP69
8533	GAPDHP70
8534	GAPDHP71
8535	GAPDHP72
8536	GAPDHP73
8537	GAPDHS
8538	GAPT
8539	GAPVD1
8540	GAR1
8541	GARNL3
8542	GARS
8543	GART
8544	GAS1
8545	GAS2
8546	GAS2L1
8547	GAS2L2
8548	GAS2L3
8549	GAS5
8550	GAS6
8551	GAS7
8552	GAS8
8553	GAST
8554	GATA1
8555	GATA2
8556	GATA3
8557	GATA4
8558	GATA5
8559	GATA6
8560	GATAD1
8561	GATAD2A
8562	GATAD2B
8563	GATC
8564	GATM
8565	GATS
8566	GATSL1
8567	GATSL2
8568	GATSL3
8569	GBA
8570	GBA2
8571	GBA3
8572	GBAP1
8573	GBAS
8574	GBE1
8575	GBF1
8576	GBGT1
8577	GBP1
8578	GBP1P1
8579	GBP2
8580	GBP3
8581	GBP4
8582	GBP5
8583	GBP6
8584	GBP7
8585	GBX1
8586	GBX2
8587	GC
8588	GCA
8589	GCAT
8590	GCATP1
8591	GCC1
8592	GCC2
8593	GCCD2
8594	GCDH
8595	GCET2
8596	GCFC1
8597	GCFC1-AS1
8598	GCG
8599	GCGR
8600	GCH1
8601	GCHFR
8602	GCK
8603	GCKR
8604	GCLC
8605	GCLM
8606	GCM1
8607	GCM2
8608	GCN1L1
8609	GCNT1
8610	GCNT2
8611	GCNT3
8612	GCNT4
8613	GCNT6
8614	GCNT7
8615	GCOM1
8616	GCRG224
8617	GCSH
8618	GCY
8619	GDA
8620	GDAP1
8621	GDAP1L1
8622	GDAP2
8623	GDE1
8624	GDEP
8625	GDF1
8626	GDF10
8627	GDF11
8628	GDF15
8629	GDF2
8630	GDF3
8631	GDF5
8632	GDF5OS
8633	GDF6
8634	GDF7
8635	GDF9
8636	GDI1
8637	GDI2
8638	GDI2P1
8639	GDNF
8640	GDPD1
8641	GDPD2
8642	GDPD3
8643	GDPD4
8644	GDPD5
8645	GEM
8646	GEMIN2
8647	GEMIN4
8648	GEMIN5
8649	GEMIN6
8650	GEMIN7
8651	GEMIN8
8652	GEMIN8P2
8653	GEMIN8P4
8654	GEN1
8655	GER
8656	GET4
8657	GFAP
8658	GFER
8659	GFI1
8660	GFI1B
8661	GFM1
8662	GFM2
8663	GFOD1
8664	GFOD2
8665	GFPT1
8666	GFPT2
8667	GFRA1
8668	GFRA2
8669	GFRA3
8670	GFRA4
8671	GFRAL
8672	GGA1
8673	GGA2
8674	GGA3
8675	GGCT
8676	GGCX
8677	GGH
8678	GGN
8679	GGNBP1
8680	GGNBP2
8681	GGPS1
8682	GGT1
8683	GGT2
8684	GGT3P
8685	GGT5
8686	GGT6
8687	GGT7
8688	GGT8P
8689	GGTA1P
8690	GGTLC1
8691	GGTLC2
8692	GGTLC3
8693	GGTLC4P
8694	GGTLC5P
8695	GH1
8696	GH2
8697	GHDC
8698	GHITM
8699	GHR
8700	GHRH
8701	GHRHR
8702	GHRL
8703	GHRLOS
8704	GHRLOS2
8705	GHS
8706	GHSR
8707	GIF
8708	GIGYF1
8709	GIGYF2
8710	GIMAP1
8711	GIMAP2
8712	GIMAP3P
8713	GIMAP4
8714	GIMAP5
8715	GIMAP6
8716	GIMAP7
8717	GIMAP8
8718	GIN1
8719	GINGF2
8720	GINS1
8721	GINS2
8722	GINS3
8723	GINS4
8724	GIP
8725	GIPC1
8726	GIPC2
8727	GIPC3
8728	GIPR
8729	GIT1
8730	GIT2
8731	GJA1
8732	GJA10
8733	GJA1P1
8734	GJA3
8735	GJA4
8736	GJA5
8737	GJA8
8738	GJA9
8739	GJB1
8740	GJB2
8741	GJB3
8742	GJB4
8743	GJB5
8744	GJB6
8745	GJB7
8746	GJC1
8747	GJC2
8748	GJC3
8749	GJD2
8750	GJD3
8751	GJD4
8752	GJE1
8753	GK
8754	GK2
8755	GK3P
8756	GK4P
8757	GK5
8758	GK6P
8759	GKAP1
8760	GKN1
8761	GKN2
8762	GKN3P
8763	GLA
8764	GLAT
8765	GLB1
8766	GLB1L
8767	GLB1L2
8768	GLB1L3
8769	GLC1C
8770	GLC1D
8771	GLC1F
8772	GLC1H
8773	GLC1I
8774	GLC1J
8775	GLC1K
8776	GLC1L
8777	GLC3B
8778	GLC3C
8779	GLCCI1
8780	GLCE
8781	GLDC
8782	GLDCP1
8783	GLDN
8784	GLE1
8785	GLG1
8786	GLI1
8787	GLI2
8788	GLI3
8789	GLI4
8790	GLIPR1
8791	GLIPR1L1
8792	GLIPR1L2
8793	GLIPR2
8794	GLIS1
8795	GLIS2
8796	GLIS3
8797	GLIS3-AS1
8798	GLM1
8799	GLMN
8800	GLO1
8801	GLOD4
8802	GLOD5
8803	GLP1R
8804	GLP2R
8805	GLRA1
8806	GLRA2
8807	GLRA3
8808	GLRA4
8809	GLRB
8810	GLRX
8811	GLRX2
8812	GLRX3
8813	GLRX5
8814	GLRXP1
8815	GLRXP2
8816	GLRXP3
8817	GLS
8818	GLS2
8819	GLT1D1
8820	GLT25D1
8821	GLT25D2
8822	GLT6D1
8823	GLT8D1
8824	GLT8D2
8825	GLTP
8826	GLTPD1
8827	GLTPD2
8828	GLTPP1
8829	GLTSCR1
8830	GLTSCR2
8831	GLUD1
8832	GLUD1P2
8833	GLUD1P3
8834	GLUD1P4
8835	GLUD1P5
8836	GLUD1P6
8837	GLUD2
8838	GLUL
8839	GLULP1
8840	GLULP2
8841	GLULP3
8842	GLULP4
8843	GLULP6
8844	GLYAT
8845	GLYATL1
8846	GLYATL1P4
8847	GLYATL2
8848	GLYATL3
8849	GLYCAM1
8850	GLYCTK
8851	GLYR1
8852	GLYS1
8853	GM2A
8854	GM2AP1
8855	GMCL1
8856	GMCL1P1
8857	GMDS
8858	GMEB1
8859	GMEB2
8860	GMFB
8861	GMFG
8862	GMIP
8863	GML
8864	GMNC
8865	GMNN
8866	GMPPA
8867	GMPPB
8868	GMPR
8869	GMPR2
8870	GMPS
8871	GMPSP1
8872	GNA11
8873	GNA12
8874	GNA13
8875	GNA14
8876	GNA15
8877	GNAI1
8878	GNAI2
8879	GNAI2P1
8880	GNAI3
8881	GNAL
8882	GNAO1
8883	GNAQ
8884	GNAQP1
8885	GNAS
8886	GNAS-AS1
8887	GNAT1
8888	GNAT2
8889	GNAT3
8890	GNAZ
8891	GNB1
8892	GNB1L
8893	GNB2
8894	GNB2L1
8895	GNB3
8896	GNB4
8897	GNB5
8898	GNE
8899	GNG10
8900	GNG11
8901	GNG12
8902	GNG13
8903	GNG2
8904	GNG3
8905	GNG4
8906	GNG5
8907	GNG7
8908	GNG8
8909	GNGT1
8910	GNGT2
8911	GNL1
8912	GNL2
8913	GNL3
8914	GNL3L
8915	GNL3LP1
8916	GNLY
8917	GNMT
8918	GNN
8919	GNPAT
8920	GNPDA1
8921	GNPDA2
8922	GNPNAT1
8923	GNPTAB
8924	GNPTG
8925	GNRH1
8926	GNRH2
8927	GNRHR
8928	GNRHR2
8929	GNS
8930	GOLGA1
8931	GOLGA2
8932	GOLGA2P1
8933	GOLGA2P2Y
8934	GOLGA2P3Y
8935	GOLGA2P5
8936	GOLGA3
8937	GOLGA4
8938	GOLGA4P1
8939	GOLGA5
8940	GOLGA6A
8941	GOLGA6B
8942	GOLGA6C
8943	GOLGA6D
8944	GOLGA6L1
8945	GOLGA6L10
8946	GOLGA6L11P
8947	GOLGA6L12P
8948	GOLGA6L13P
8949	GOLGA6L14P
8950	GOLGA6L2
8951	GOLGA6L3
8952	GOLGA6L4
8953	GOLGA6L5
8954	GOLGA6L6
8955	GOLGA6L7P
8956	GOLGA6L9
8957	GOLGA7
8958	GOLGA7B
8959	GOLGA8A
8960	GOLGA8B
8961	GOLGA8C
8962	GOLGA8DP
8963	GOLGA8E
8964	GOLGA8F
8965	GOLGA8G
8966	GOLGA8H
8967	GOLGA8IP
8968	GOLGA8J
8969	GOLGB1
8970	GOLIM4
8971	GOLM1
8972	GOLPH3
8973	GOLPH3L
8974	GOLT1A
8975	GOLT1B
8976	GON4L
8977	GOPC
8978	GORAB
8979	GORASP1
8980	GORASP2
8981	GOSR1
8982	GOSR2
8983	GOT1
8984	GOT1L1
8985	GOT2
8986	GOT2P1
8987	GOT2P2
8988	GOT2P3
8989	GOT2P4
8990	GOUT1
8991	GP1BA
8992	GP1BB
8993	GP2
8994	GP5
8995	GP6
8996	GP9
8997	GPA33
8998	GPAA1
8999	GPAA1P1
9000	GPAM
9001	GPANK1
9002	GPAT2
9003	GPATCH1
9004	GPATCH2
9005	GPATCH3
9006	GPATCH4
9007	GPATCH8
9008	GPBAR1
9009	GPBP1
9010	GPBP1L1
9011	GPC1
9012	GPC2
9013	GPC3
9014	GPC4
9015	GPC5
9016	GPC6
9017	GPCPD1
9018	GPCRLTM7
9019	GPD1
9020	GPD1L
9021	GPD2
9022	GPDS1
9023	GPER
9024	GPHA2
9025	GPHB5
9026	GPHN
9027	GPI
9028	GPIHBP1
9029	GPKOW
9030	GPLD1
9031	GPM6A
9032	GPM6B
9033	GPN1
9034	GPN2
9035	GPN3
9036	GPNMB
9037	GPR1
9038	GPR101
9039	GPR107
9040	GPR108
9041	GPR110
9042	GPR111
9043	GPR112
9044	GPR113
9045	GPR114
9046	GPR115
9047	GPR116
9048	GPR116P1
9049	GPR116P2
9050	GPR119
9051	GPR12
9052	GPR123
9053	GPR124
9054	GPR125
9055	GPR126
9056	GPR128
9057	GPR132
9058	GPR133
9059	GPR135
9060	GPR137
9061	GPR137B
9062	GPR137C
9063	GPR139
9064	GPR141
9065	GPR142
9066	GPR143
9067	GPR143P
9068	GPR144
9069	GPR146
9070	GPR148
9071	GPR149
9072	GPR15
9073	GPR150
9074	GPR151
9075	GPR152
9076	GPR153
9077	GPR155
9078	GPR156
9079	GPR157
9080	GPR158
9081	GPR160
9082	GPR161
9083	GPR162
9084	GPR165P
9085	GPR166P
9086	GPR17
9087	GPR171
9088	GPR172A
9089	GPR172B
9090	GPR173
9091	GPR174
9092	GPR176
9093	GPR179
9094	GPR18
9095	GPR180
9096	GPR182
9097	GPR183
9098	GPR19
9099	GPR20
9100	GPR21
9101	GPR22
9102	GPR25
9103	GPR26
9104	GPR27
9105	GPR3
9106	GPR31
9107	GPR32
9108	GPR32P1
9109	GPR33
9110	GPR34
9111	GPR35
9112	GPR37
9113	GPR37L1
9114	GPR39
9115	GPR4
9116	GPR42
9117	GPR44
9118	GPR45
9119	GPR50
9120	GPR52
9121	GPR53P
9122	GPR55
9123	GPR56
9124	GPR6
9125	GPR61
9126	GPR62
9127	GPR63
9128	GPR64
9129	GPR65
9130	GPR68
9131	GPR75
9132	GPR77
9133	GPR78
9134	GPR79
9135	GPR82
9136	GPR83
9137	GPR84
9138	GPR85
9139	GPR87
9140	GPR88
9141	GPR89A
9142	GPR89B
9143	GPR89C
9144	GPR89P
9145	GPR97
9146	GPR98
9147	GPRASP1
9148	GPRASP2
9149	GPRC5A
9150	GPRC5B
9151	GPRC5C
9152	GPRC5D
9153	GPRC6A
9154	GPRIN1
9155	GPRIN2
9156	GPRIN3
9157	GPS1
9158	GPS2
9159	GPSC
9160	GPSM1
9161	GPSM2
9162	GPSM3
9163	GPT
9164	GPT2
9165	GPX1
9166	GPX1P1
9167	GPX1P2
9168	GPX2
9169	GPX3
9170	GPX4
9171	GPX5
9172	GPX6
9173	GPX7
9174	GPX8
9175	GRAMD1A
9176	GRAMD1B
9177	GRAMD1C
9178	GRAMD2
9179	GRAMD3
9180	GRAMD4
9181	GRAP
9182	GRAP2
9183	GRAPL
9184	GRASP
9185	GRASPOS
9186	GRB10
9187	GRB14
9188	GRB2
9189	GRB7
9190	GRD2
9191	GRDX
9192	GREB1
9193	GREB1L
9194	GREM1
9195	GREM2
9196	GRHL1
9197	GRHL2
9198	GRHL3
9199	GRHPR
9200	GRIA1
9201	GRIA2
9202	GRIA3
9203	GRIA4
9204	GRID1
9205	GRID2
9206	GRID2IP
9207	GRIFIN
9208	GRIK1
9209	GRIK1-AS1
9210	GRIK1-AS2
9211	GRIK2
9212	GRIK3
9213	GRIK4
9214	GRIK5
9215	GRIN1
9216	GRIN2A
9217	GRIN2B
9218	GRIN2C
9219	GRIN2D
9220	GRIN3A
9221	GRIN3B
9222	GRINA
9223	GRINL1B
9224	GRIP1
9225	GRIP2
9226	GRIPAP1
9227	GRK1
9228	GRK4
9229	GRK5
9230	GRK6
9231	GRK6P1
9232	GRK7
9233	GRM1
9234	GRM2
9235	GRM3
9236	GRM4
9237	GRM5
9238	GRM6
9239	GRM7
9240	GRM8
9241	GRN
9242	GRP
9243	GRPEL1
9244	GRPEL2
9245	GRPR
9246	GRRP1
9247	GRSF1
9248	GRTP1
9249	GRWD1
9250	GRXCR1
9251	GRXCR2
9252	GSC
9253	GSC2
9254	GSDMA
9255	GSDMB
9256	GSDMC
9257	GSDMD
9258	GSG1
9259	GSG1L
9260	GSG2
9261	GSK3A
9262	GSK3B
9263	GSM1
9264	GSN
9265	GSPT1
9266	GSPT2
9267	GSR
9268	GSS
9269	GSTA1
9270	GSTA2
9271	GSTA3
9272	GSTA4
9273	GSTA5
9274	GSTA6P
9275	GSTA7P
9276	GSTCD
9277	GSTK1
9278	GSTM1
9279	GSTM2
9280	GSTM2P1
9281	GSTM3
9282	GSTM3P1
9283	GSTM4
9284	GSTM5
9285	GSTM5P1
9286	GSTO1
9287	GSTO2
9288	GSTO3P
9289	GSTP1
9290	GSTP1P1
9291	GSTT1
9292	GSTT2
9293	GSTT2B
9294	GSTTP1
9295	GSTTP2
9296	GSTZ1
9297	GSX1
9298	GSX2
9299	GTDC1
9300	GTF2A1
9301	GTF2A1L
9302	GTF2A2
9303	GTF2B
9304	GTF2E1
9305	GTF2E2
9306	GTF2F1
9307	GTF2F2
9308	GTF2F2P1
9309	GTF2F2P2
9310	GTF2H1
9311	GTF2H2
9312	GTF2H2B
9313	GTF2H2C
9314	GTF2H2D
9315	GTF2H3
9316	GTF2H4
9317	GTF2H5
9318	GTF2I
9319	GTF2IP1
9320	GTF2IRD1
9321	GTF2IRD2
9322	GTF2IRD2B
9323	GTF2IRD2P1
9324	GTF3A
9325	GTF3C1
9326	GTF3C2
9327	GTF3C3
9328	GTF3C4
9329	GTF3C5
9330	GTF3C6
9331	GTPBP1
9332	GTPBP10
9333	GTPBP2
9334	GTPBP3
9335	GTPBP4
9336	GTPBP5
9337	GTPBP6
9338	GTPBP8
9339	GTS
9340	GTSCR1
9341	GTSE1
9342	GTSF1
9343	GTSF1L
9344	GUCA1A
9345	GUCA1B
9346	GUCA1C
9347	GUCA2A
9348	GUCA2B
9349	GUCY1A2
9350	GUCY1A3
9351	GUCY1B2
9352	GUCY1B3
9353	GUCY2C
9354	GUCY2D
9355	GUCY2E
9356	GUCY2F
9357	GUCY2GP
9358	GUF1
9359	GUK1
9360	GUK2
9361	GULOP
9362	GULP1
9363	GUSB
9364	GUSBP1
9365	GUSBP10
9366	GUSBP11
9367	GUSBP12
9368	GUSBP2
9369	GUSBP3
9370	GUSBP4
9371	GUSBP5
9372	GUSBP8
9373	GUSBP9
9374	GUST
9375	GVINP1
9376	GXYLT1
9377	GXYLT1P2
9378	GXYLT2
9379	GYG1
9380	GYG1P2
9381	GYG1P3
9382	GYG2
9383	GYG2P1
9384	GYLTL1B
9385	GYPA
9386	GYPB
9387	GYPC
9388	GYPE
9389	GYS1
9390	GYS2
9391	GZF1
9392	GZMA
9393	GZMB
9394	GZMH
9395	GZMK
9396	GZMM
9397	H19
9398	H1F0
9399	H1FNT
9400	H1FOO
9401	H1FX
9402	H1FX-AS1
9403	H2AFB1
9404	H2AFB2
9405	H2AFB3
9406	H2AFJ
9407	H2AFV
9408	H2AFVP1
9409	H2AFX
9410	H2AFY
9411	H2AFY2
9412	H2AFZ
9413	H2AFZP1
9414	H2AFZP2
9415	H2AFZP3
9416	H2BFM
9417	H2BFS
9418	H2BFWT
9419	H2BFXP
9420	H3.X
9421	H3.Y
9422	H3F3A
9423	H3F3AP1
9424	H3F3AP2
9425	H3F3AP4
9426	H3F3AP5
9427	H3F3AP6
9428	H3F3B
9429	H3F3C
9430	H4F3
9431	H6PD
9432	HAAO
9433	HAB1
9434	HABP2
9435	HABP4
9436	HACE1
9437	HACL1
9438	HADH
9439	HADHA
9440	HADHAP1
9441	HADHAP2
9442	HADHB
9443	HAGH
9444	HAGHL
9445	HAL
9446	HAMP
9447	HAND1
9448	HAND2
9449	HAO1
9450	HAO2
9451	HAP1
9452	HAPLN1
9453	HAPLN2
9454	HAPLN3
9455	HAPLN4
9456	HAR1A
9457	HAR1B
9458	HARBI1
9459	HARS
9460	HARS2
9461	HAS1
9462	HAS2
9463	HAS2-AS1
9464	HAS3
9465	HAT1
9466	HAUS1
9467	HAUS2
9468	HAUS3
9469	HAUS4
9470	HAUS5
9471	HAUS6
9472	HAUS7
9473	HAUS8
9474	HAVCR1
9475	HAVCR2
9476	HAX1
9477	HBA1
9478	HBA2
9479	HBAP1
9480	HBB
9481	HBBP1
9482	HBD
9483	HBE1
9484	HBEGF
9485	HBG1
9486	HBG2
9487	HBM
9488	HBN1
9489	HBP1
9490	HBQ1
9491	HBS1L
9492	HBXIP
9493	HBZ
9494	HBZP1
9495	HCAR1
9496	HCAR2
9497	HCAR3
9498	HCC
9499	HCCS
9500	HCFC1
9501	HCFC1R1
9502	HCFC2
9503	HCG10P
9504	HCG11
9505	HCG13P
9506	HCG14
9507	HCG15
9508	HCG16
9509	HCG17
9510	HCG18
9511	HCG19P
9512	HCG20
9513	HCG21
9514	HCG22
9515	HCG23
9516	HCG24
9517	HCG25
9518	HCG26
9519	HCG27
9520	HCG2P7
9521	HCG4
9522	HCG4B
9523	HCG4P1
9524	HCG4P11
9525	HCG4P2
9526	HCG4P3
9527	HCG4P4
9528	HCG4P5
9529	HCG4P7
9530	HCG4P8
9531	HCG4P9
9532	HCG8
9533	HCG9
9534	HCG9P1
9535	HCG9P2
9536	HCG9P3
9537	HCG9P5
9538	HCGVIII-2
9539	HCK
9540	HCL1
9541	HCL2
9542	HCLS1
9543	HCN1
9544	HCN2
9545	HCN3
9546	HCN4
9547	HCP5
9548	HCP5B
9549	HCRP1
9550	HCRT
9551	HCRTR1
9552	HCRTR2
9553	HCST
9554	HDAC1
9555	HDAC10
9556	HDAC11
9557	HDAC2
9558	HDAC3
9559	HDAC4
9560	HDAC5
9561	HDAC6
9562	HDAC7
9563	HDAC8
9564	HDAC9
9565	HDC
9566	HDDC2
9567	HDDC3
9568	HDGF
9569	HDGFL1
9570	HDGFP1
9571	HDGFRP2
9572	HDGFRP3
9573	HDHD1
9574	HDHD1P1
9575	HDHD1P2
9576	HDHD1P3
9577	HDHD2
9578	HDHD3
9579	HDLBP
9580	HDLC2
9581	HDLC3
9582	HDLCQ1
9583	HDX
9584	HEATR1
9585	HEATR2
9586	HEATR3
9587	HEATR4
9588	HEATR5A
9589	HEATR5B
9590	HEATR6
9591	HEATR7A
9592	HEATR7B1
9593	HEATR7B2
9594	HEATR8
9595	HEBP1
9596	HEBP2
9597	HECA
9598	HECTD1
9599	HECTD2
9600	HECTD3
9601	HECW1
9602	HECW1-IT1
9603	HECW2
9604	HEG1
9605	HELB
9606	HELLS
9607	HELQ
9608	HELT
9609	HELZ
9610	HEMC
9611	HEMGN
9612	HEMK1
9613	HENMT1
9614	HEPACAM
9615	HEPACAM2
9616	HEPH
9617	HEPHL1
9618	HEPN1
9619	HERC1
9620	HERC2
9621	HERC2P1
